row_id,anon_vehicle_num,vehicle_type,axles_num,vehicle_code,payment_code_type,GBP_payment_amount,tollplaza_id,tollplaza_code,day_name_of_week,month_name,day_of_month,time,year
1,125094,car,2,VC965,PTE,3.11,4856,PC7C042B7,Thu,Aug,19,21:54:38,2021
2,174434,car,2,VC965,PTP,7.42,4154,PC2C2EF9E,Sat,Jul,31,04:09:44,2021
3,8538286,car,2,VC965,PTE,1.6,4070,PCEECA8B2,Sat,Aug,14,17:19:04,2021
4,5521221,car,2,VC965,PTP,6.46,4095,PC3E1512A,Mon,Aug,2,18:23:45,2021
5,3267767,car,2,VC965,PTE,6.1,4135,PCC943ECD,Thu,Jul,29,22:44:20,2021
6,8411850,car,2,VC965,PTE,7.27,4680,PCC422F4D,Sat,Aug,14,03:57:47,2021
7,6064250,car,2,VC965,PTE,6.32,4702,PCDBC3AC9,Thu,Aug,12,03:41:22,2021
8,6871937,van,2,VCD2F,PTE,4.53,4592,PC627AA14,Sun,Aug,22,10:29:58,2021
9,2055930,car,2,VC965,PTP,3.07,4100,PCC6DD8D5,Fri,Aug,6,14:23:08,2021
10,8775910,car,2,VC965,PTC,1.93,4143,PC5F47DCF,Sun,Aug,15,13:43:51,2021
11,4525747,car,2,VC965,PTE,7.06,4466,PC6E93A05,Wed,Aug,4,15:52:13,2021
12,5276143,van,2,VCD2F,PTC,1.34,4352,PC99B9343,Wed,Aug,18,02:22:15,2021
13,5405144,van,2,VCD2F,PTP,0.63,4574,PCC1F6F13,Thu,Aug,19,16:01:02,2021
14,9309466,car,2,VC965,PTE,8.3,4902,PC425C6EC,Tue,Aug,3,14:55:00,2021
15,6494070,van,2,VCD2F,PTC,8.22,4012,PCEF5C190,Thu,Aug,5,04:00:30,2021
16,4880588,car,2,VC965,PTE,3.33,4458,PCECEBBFA,Sun,Aug,8,13:08:17,2021
17,6964507,car,2,VC965,PTC,8.02,4886,PC4D892D7,Wed,Aug,4,04:56:15,2021
18,5740782,truck,4,VCB43,PTP,0.05,4680,PCC422F4D,Sun,Aug,15,11:22:44,2021
19,1060261,van,2,VCD2F,PTP,7.79,4899,PC4967767,Fri,Jul,30,11:20:47,2021
20,6599783,car,2,VC965,PTP,2.67,4855,PC03C5C15,Sun,Aug,8,21:22:56,2021
21,4573378,car,2,VC965,PTC,5.76,4737,PCED7EAFE,Wed,Aug,11,10:33:15,2021
22,1362666,car,2,VC965,PTP,5.04,4140,PC5D4821F,Fri,Aug,6,02:02:33,2021
23,9227112,car,2,VC965,PTP,2.27,4961,PC92C5115,Mon,Aug,9,05:07:58,2021
24,1245885,car,2,VC965,PTP,3.37,4148,PCDFBBEBB,Fri,Aug,13,18:21:04,2021
